0.7840
class4,p
nonevent,0.145
nonevent,0.236
nonevent,0.359
II,0.584
nonevent,0.213
nonevent,0.316
Ib,0.983
nonevent,0.355
Ib,0.952
nonevent,0.218
nonevent,0.003
Ib,0.937
Ib,0.683
II,0.560
nonevent,0.000
nonevent,0.508
nonevent,0.015
nonevent,0.102
nonevent,0.000
nonevent,0.283
nonevent,0.190
II,0.936
II,0.621
Ib,0.892
nonevent,0.121
nonevent,0.232
nonevent,0.143
nonevent,0.000
II,0.778
nonevent,0.450
nonevent,0.461
nonevent,0.068
II,0.976
nonevent,0.054
II,0.965
II,0.682
nonevent,0.080
nonevent,0.114
nonevent,0.470
II,0.817
nonevent,0.438
Ib,0.959
Ib,0.829
nonevent,0.211
II,0.861
nonevent,0.028
nonevent,0.405
nonevent,0.171
Ib,0.828
nonevent,0.371
nonevent,0.309
nonevent,0.008
Ib,0.910
II,0.942
nonevent,0.494
nonevent,0.257
Ib,0.951
nonevent,0.038
nonevent,0.612
nonevent,0.349
Ib,0.981
nonevent,0.104
nonevent,0.237
nonevent,0.270
II,0.965
nonevent,0.347
II,0.682
nonevent,0.000
nonevent,0.013
Ib,0.594
II,0.970
nonevent,0.000
II,0.962
II,0.835
nonevent,0.010
Ib,0.969
II,0.863
nonevent,0.407
nonevent,0.397
nonevent,0.009
Ib,0.651
nonevent,0.533
Ia,0.724
nonevent,0.140
nonevent,0.000
II,0.968
II,0.915
Ib,0.977
nonevent,0.013
nonevent,0.000
nonevent,0.152
nonevent,0.220
Ib,0.885
II,0.641
nonevent,0.162
nonevent,0.242
II,0.761
nonevent,0.562
Ib,0.872
nonevent,0.016
nonevent,0.475
nonevent,0.581
nonevent,0.011
Ib,0.957
nonevent,0.012
nonevent,0.016
II,0.831
nonevent,0.207
II,0.993
nonevent,0.000
II,0.756
nonevent,0.124
nonevent,0.052
nonevent,0.459
II,0.857
II,0.960
II,0.971
Ib,0.899
nonevent,0.624
Ib,0.982
nonevent,0.169
nonevent,0.082
nonevent,0.440
II,0.516
nonevent,0.029
II,0.979
nonevent,0.101
nonevent,0.256
nonevent,0.471
II,0.892
II,0.662
II,0.926
nonevent,0.000
nonevent,0.419
II,0.837
nonevent,0.205
II,0.801
II,0.525
nonevent,0.503
II,0.980
II,0.873
II,0.964
nonevent,0.252
nonevent,0.045
II,0.678
nonevent,0.164
nonevent,0.003
Ib,0.756
nonevent,0.559
II,0.752
nonevent,0.355
Ib,0.881
nonevent,0.080
nonevent,0.207
II,0.664
nonevent,0.106
II,0.888
II,0.657
nonevent,0.001
nonevent,0.268
nonevent,0.397
nonevent,0.043
II,0.982
nonevent,0.028
nonevent,0.023
II,0.682
nonevent,0.493
II,0.895
nonevent,0.270
nonevent,0.125
nonevent,0.539
nonevent,0.048
Ib,0.990
Ib,0.960
nonevent,0.054
nonevent,0.522
nonevent,0.055
II,0.745
nonevent,0.000
nonevent,0.263
Ib,0.912
nonevent,0.000
II,0.943
nonevent,0.394
nonevent,0.609
II,0.777
Ib,0.880
II,0.940
II,0.812
nonevent,0.024
nonevent,0.159
nonevent,0.626
II,0.659
II,0.902
nonevent,0.033
nonevent,0.416
nonevent,0.075
nonevent,0.359
II,0.860
II,0.928
nonevent,0.277
nonevent,0.016
nonevent,0.508
II,0.571
nonevent,0.147
Ib,0.839
nonevent,0.042
nonevent,0.268
Ib,0.644
II,0.664
nonevent,0.237
II,0.686
nonevent,0.172
Ib,0.781
nonevent,0.000
II,0.968
II,0.827
nonevent,0.409
nonevent,0.203
II,0.846
nonevent,0.073
II,0.982
II,0.636
nonevent,0.024
nonevent,0.039
nonevent,0.041
nonevent,0.015
II,0.715
nonevent,0.176
nonevent,0.283
nonevent,0.214
nonevent,0.219
II,0.710
nonevent,0.056
nonevent,0.156
nonevent,0.087
Ib,0.873
Ib,0.875
nonevent,0.167
II,0.968
II,0.970
nonevent,0.146
nonevent,0.006
nonevent,0.463
nonevent,0.551
II,0.976
nonevent,0.295
II,0.966
nonevent,0.516
Ib,0.943
Ib,0.859
nonevent,0.282
nonevent,0.340
II,0.839
II,0.961
nonevent,0.013
II,0.561
nonevent,0.009
Ib,0.912
II,0.629
nonevent,0.069
nonevent,0.003
nonevent,0.427
nonevent,0.078
nonevent,0.182
nonevent,0.127
nonevent,0.002
nonevent,0.000
II,0.892
nonevent,0.056
nonevent,0.018
nonevent,0.386
II,0.741
Ib,0.844
nonevent,0.555
II,0.693
II,0.955
II,0.847
II,0.972
Ib,0.988
II,0.921
Ib,0.939
II,0.817
nonevent,0.131
II,0.824
II,0.790
nonevent,0.240
nonevent,0.313
nonevent,0.282
nonevent,0.008
nonevent,0.312
II,0.954
II,0.988
nonevent,0.272
II,0.985
nonevent,0.315
nonevent,0.086
nonevent,0.111
nonevent,0.089
nonevent,0.610
II,0.654
II,0.863
II,0.731
nonevent,0.001
nonevent,0.063
nonevent,0.454
nonevent,0.062
nonevent,0.308
nonevent,0.023
nonevent,0.097
Ib,0.942
nonevent,0.282
II,0.611
nonevent,0.577
nonevent,0.348
nonevent,0.079
nonevent,0.504
nonevent,0.016
Ib,0.833
nonevent,0.011
nonevent,0.413
nonevent,0.284
II,0.822
nonevent,0.070
Ib,0.797
nonevent,0.028
nonevent,0.386
Ib,0.965
nonevent,0.069
nonevent,0.099
nonevent,0.093
Ib,0.940
Ib,0.798
nonevent,0.002
II,0.902
Ib,0.976
nonevent,0.247
II,0.598
nonevent,0.000
nonevent,0.050
nonevent,0.089
II,0.738
nonevent,0.004
II,0.726
nonevent,0.240
nonevent,0.001
II,0.795
nonevent,0.038
II,0.754
II,0.753
nonevent,0.139
II,0.523
nonevent,0.053
II,0.772
Ib,0.733
II,0.929
nonevent,0.146
Ib,0.912
Ib,0.905
nonevent,0.032
nonevent,0.021
nonevent,0.352
nonevent,0.294
II,0.893
II,0.805
nonevent,0.043
nonevent,0.039
nonevent,0.529
nonevent,0.289
nonevent,0.027
nonevent,0.463
nonevent,0.108
II,0.703
nonevent,0.065
II,0.875
II,0.585
nonevent,0.330
Ib,0.725
nonevent,0.002
nonevent,0.103
nonevent,0.096
II,0.818
II,0.979
nonevent,0.374
nonevent,0.356
nonevent,0.001
nonevent,0.301
Ib,0.885
nonevent,0.447
nonevent,0.167
II,0.825
Ib,0.818
II,0.747
nonevent,0.269
nonevent,0.168
nonevent,0.369
nonevent,0.178
II,0.972
II,0.951
nonevent,0.021
nonevent,0.440
II,0.969
Ib,0.942
II,0.669
II,0.888
nonevent,0.278
II,0.728
nonevent,0.138
nonevent,0.060
II,0.876
II,0.731
II,0.700
II,0.979
nonevent,0.539
nonevent,0.506
nonevent,0.014
nonevent,0.569
nonevent,0.002
II,0.753
Ib,0.984
II,0.890
nonevent,0.373
II,0.563
nonevent,0.113
nonevent,0.119
nonevent,0.200
nonevent,0.208
Ib,0.915
nonevent,0.296
nonevent,0.556
nonevent,0.245
II,0.918
II,0.863
nonevent,0.600
nonevent,0.123
nonevent,0.175
nonevent,0.137
nonevent,0.002
II,0.916
II,0.624
II,0.781
nonevent,0.387
nonevent,0.496
II,0.730
nonevent,0.018
nonevent,0.153
nonevent,0.227
II,0.917
nonevent,0.133
nonevent,0.401
nonevent,0.392
nonevent,0.086
Ib,0.944
nonevent,0.000
II,0.905
II,0.703
nonevent,0.249
nonevent,0.200
II,0.887
nonevent,0.178
II,0.574
nonevent,0.225
nonevent,0.082
nonevent,0.054
Ib,0.901
nonevent,0.437
nonevent,0.262
Ib,0.972
nonevent,0.554
nonevent,0.020
nonevent,0.000
nonevent,0.405
nonevent,0.053
nonevent,0.474
nonevent,0.359
II,0.919
nonevent,0.472
II,0.777
Ib,0.830
II,0.992
nonevent,0.000
Ib,0.928
nonevent,0.351
II,0.970
Ib,0.762
II,0.837
nonevent,0.082
Ib,0.810
II,0.534
nonevent,0.041
nonevent,0.003
II,0.678
II,0.962
nonevent,0.018
nonevent,0.327
nonevent,0.050
nonevent,0.327
nonevent,0.340
Ib,0.676
II,0.940
Ib,0.750
II,0.832
Ib,0.981
nonevent,0.000
II,0.961
II,0.891
II,0.877
Ib,0.899
Ib,0.939
nonevent,0.499
nonevent,0.218
nonevent,0.343
nonevent,0.469
II,0.658
nonevent,0.175
nonevent,0.188
nonevent,0.106
Ib,0.756
II,0.736
nonevent,0.226
nonevent,0.000
Ib,0.909
II,0.925
nonevent,0.143
nonevent,0.571
Ib,0.939
II,0.641
nonevent,0.015
nonevent,0.315
nonevent,0.044
II,0.741
II,0.907
II,0.633
II,0.899
II,0.925
Ib,0.670
II,0.959
nonevent,0.107
nonevent,0.431
Ib,0.725
nonevent,0.030
II,0.823
nonevent,0.008
